iteration,residual_norm,correction_norm,state_jacobian_condition,state_jacobian_min_singular_value,linear_solver,step_factor,experiment,z_W0_m,smooth_width_m
2,0.00029851496786410933,4.7298649674870227e-07,5245.326480520432,0.8381312270351489,solve,1.0,fixed_z_width_path,9800.0,150.0
3,1.556596655447752e-08,4.6732602076803e-12,5245.324954962378,0.8381312238611252,solve,0.5,fixed_z_width_path,9800.0,150.0
0,62.197571304817245,0.11023119272874408,5361.428338943186,0.8182421889863102,solve,1.0,fixed_z_width_path,9800.0,100.0
1,2.2235896872740164,0.003778745774048042,5757.131629242687,0.8187265673434831,solve,1.0,fixed_z_width_path,9800.0,100.0
2,0.002911403646348859,4.742599783616296e-06,5743.220364943254,0.818705922371439,solve,1.0,fixed_z_width_path,9800.0,100.0
3,7.415658802200324e-08,2.1825819775585303e-11,5743.205015288782,0.8187059663843409,solve,0.5,fixed_z_width_path,9800.0,100.0
4,4.41923282551335e-08,1.4752789993578554e-11,5743.205009348762,0.8187059661932312,solve,0.5,fixed_z_width_path,9800.0,100.0
5,2.6154186861152156e-08,7.851224451453996e-12,5743.2050110924565,0.8187059662729981,solve,0.5,fixed_z_width_path,9800.0,100.0
6,1.3667340794907557e-08,4.516441388209615e-12,5743.205021077775,0.8187059667745771,solve,0.5,fixed_z_width_path,9800.0,100.0
0,48.87078953257067,0.0861344977280373,5854.653334338087,0.8020210724674004,solve,1.0,fixed_z_width_path,9800.0,75.0
1,1.3447069423028286,0.0023259220699081147,6190.508706712561,0.8023421300580297,solve,1.0,fixed_z_width_path,9800.0,75.0
2,0.0010752387806780468,1.7942110250512516e-06,6181.274446352978,0.8023304524559218,solve,1.0,fixed_z_width_path,9800.0,75.0
3,6.480251884418374e-08,2.113943087447438e-11,6181.269077729193,0.8023305400923211,solve,0.5,fixed_z_width_path,9800.0,75.0
4,3.960280339146452e-08,1.3178461797356023e-11,6181.2675236332525,0.8023304383377512,solve,0.5,fixed_z_width_path,9800.0,75.0
5,2.2475817631686044e-08,7.355286592677543e-12,6181.267530870497,0.8023304387142907,solve,0.5,fixed_z_width_path,9800.0,75.0
6,1.1497691114629168e-08,3.826147851765932e-12,6181.267523864551,0.8023304383057178,solve,0.5,fixed_z_width_path,9800.0,75.0
0,59.80806476659133,0.10806211639728959,6348.153469081884,0.7801745387332486,solve,1.0,fixed_z_width_path,9800.0,50.0
1,2.0465378331103374,0.0036138617525309077,6809.769732195671,0.7804716456068672,solve,1.0,fixed_z_width_path,9800.0,50.0
2,0.0025220839554630013,4.320124796397341e-06,6793.951020049276,0.7804567292509392,solve,1.0,fixed_z_width_path,9800.0,50.0
3,5.9473854926028325e-08,2.2298424747396394e-11,6793.9326404435415,0.7804566973149524,solve,0.5,fixed_z_width_path,9800.0,50.0
4,3.8033249331178617e-08,1.2707605201144165e-11,6793.931175899313,0.7804565679602243,solve,0.5,fixed_z_width_path,9800.0,50.0
5,2.318054269173375e-08,4.246223837113274e-12,6793.929724102941,0.7804564393159846,solve,0.25,fixed_z_width_path,9800.0,50.0
0,32.68765469738781,0.05766091939963054,6904.309400345043,0.7675879244204477,solve,1.0,fixed_z_width_path,9800.0,35.0
1,0.586007441326428,0.0010487224187615207,7168.531487536115,0.7676970160147366,solve,1.0,fixed_z_width_path,9800.0,35.0
2,0.00020714789715745838,3.620027172394197e-07,7163.681612976371,0.7676934414293078,solve,1.0,fixed_z_width_path,9800.0,35.0
3,6.366677049041516e-08,2.338798146820223e-11,7163.679996405414,0.7676934404075965,solve,0.5,fixed_z_width_path,9800.0,35.0
4,4.123597433566695e-08,7.579454516804903e-12,7163.679983638558,0.7676934390923534,solve,0.25,fixed_z_width_path,9800.0,35.0
0,13.079669330040034,0.022649383529349486,7214.39260604898,0.7622259240229535,solve,1.0,fixed_z_width_path,9800.0,25.0
1,0.09107984253746615,0.0001639809303080493,7321.768026400782,0.7622571931410745,solve,1.0,fixed_z_width_path,9800.0,25.0
2,5.0765552815595615e-06,8.91496621291792e-09,7320.993344213309,0.7622568782684385,solve,1.0,fixed_z_width_path,9800.0,25.0
3,6.01530822067748e-08,2.2617312646087927e-11,7320.990650519687,0.7622565672747237,solve,0.5,fixed_z_width_path,9800.0,25.0
4,3.718642175285611e-08,1.3977360683441552e-11,7320.990653405372,0.762256567413224,solve,0.5,fixed_z_width_path,9800.0,25.0
5,2.401654733203743e-08,9.029492205574282e-12,7320.990660952432,0.7622565682967279,solve,0.5,fixed_z_width_path,9800.0,25.0
6,1.580308716071035e-08,5.948148023419131e-12,7320.99065461956,0.7622565675507748,solve,0.5,fixed_z_width_path,9800.0,25.0
