method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
LSODA,140.16666666666666,941950.733090286,9604.822348087679,1.97588831555889,0.0001831018907844165,1.0801840262930127e-09,5.368682448988583e-05,0.00010737364897977166,9.819946873854066,2.452240937398724,1.0012134166949096,1.0209644696175357,0.0019581968161391625,-0.0007447801212295655,-1.2940853172887673e-15
LSODA,140.33333333333334,943136.032252348,9605.001138450714,1.9749944337117522,0.000412013073115713,1.0794125827151951e-09,5.3673659410718214e-05,0.00010734731882143643,9.825327407137243,2.450669427457579,1.0012268352336902,1.0210002276901429,0.001961025196682858,-0.0007341899629926978,-1.275153379462012e-15
LSODA,140.5,944320.5907535895,9605.315520232856,1.9734225928103934,0.0006346836522133651,1.0786564946239758e-09,5.366075029822371e-05,0.00010732150059644742,9.830721742784151,2.4490958974187413,1.0012504303191567,1.0210631040465712,0.001966391194032904,-0.0007159608748761783,-1.2429667484503304e-15
LSODA,140.66666666666666,945504.0081299436,9605.76105659949,1.9711949763328775,0.0008488215843391366,1.0779235827691889e-09,5.364823113243332e-05,0.00010729646226486664,9.836072810827671,2.447536974387634,1.0012838692227866,1.0211522113198979,0.0019742153929225626,-0.0006903461701360026,-1.197987893513383e-15
LSODA,140.83333333333334,946685.8992596206,9606.331966803762,1.968340487353209,0.0010522430233020658,1.0772213510222757e-09,5.363623070626636e-05,0.00010727246141253272,9.841324307376967,2.446008978794512,1.0013267184476993,1.0212663933607524,0.0019843933732579936,-0.0006576749255587226,-1.1408094029272102e-15
LSODA,141.0,947865.8982907083,9607.021197847898,1.964894390241283,0.0012428945572230538,1.0765569105833265e-09,5.362487129656972e-05,0.00010724974259313943,9.846421298893956,2.4445277534447265,1.0013784490791555,1.0214042395695797,0.001996797074389459,-0.0006183479952339395,-1.072146184982232e-15
LSODA,141.16666666666666,949043.6623342286,9607.820509031859,1.96089788792546,0.0014188738967259942,1.0759369092315988e-09,5.361426741409714e-05,0.00010722853482819428,9.851310812902497,2.443108499746737,1.0014384431107,1.021564101806372,0.0020112763858383714,-0.0005728332751384108,-9.928264773663291e-16
LSODA,141.33333333333334,950218.8748854346,9608.72056840498,1.9563976396397693,0.001578448825242779,1.0753674662841495e-09,5.360452464569115e-05,0.0001072090492913823,9.855942408256407,2.441765622719875,1.0015060006500525,1.0217441136809962,0.002027660944139145,-0.0005216602940866814,-9.037818267162832e-16
LSODA,141.5,951391.2489392712,9609.711060013355,1.95144522469173,0.0017200742056124186,1.0748541138554261e-09,5.359573860089329e-05,0.00010719147720178657,9.860268717648681,2.4405125863971393,1.0015803479428305,1.021942212002671,0.0020457621139998235,-0.00046541417116936117,-8.060361322696302e-16
LSODA,141.66666666666666,952560.5297694092,9610.780800726092,1.9460965583351029,0.0018424068760485677,1.0744017449285042e-09,5.358799397390185e-05,0.0001071759879478037,9.864245955498385,2.439361781013872,1.0016606461073867,1.0221561601452185,0.0020653751308233534,-0.0004047290234366549,-7.006939159032535e-16
LSODA,141.83333333333334,953726.4973440656,9611.917865327401,1.9404112663130473,0.001944318284752433,1.0740145686716242e-09,5.358136373048263e-05,0.00010716272746096526,9.867834384574975,2.4383244032433296,1.0017460005010166,1.0223835730654802,0.0020862813807357313,-0.0003402808797191444,-5.889279246643789e-16
LSODA,142.0,954888.9683558819,9613.109718480042,1.9344520250434762,0.002024904741489424,1.0736960733493236e-09,5.357590842790508e-05,0.00010715181685581016,9.870998735249346,2.4374103505514304,1.0018354705952088,1.0226219436960085,0.0021082507936131204,-0.00027278019840428804,-4.719662364054658e-16
LSODA,142.16666666666666,956047.7978474271,9614.343352100243,1.9282838747466031,0.0020834951906750438,1.0734489970928946e-09,5.357167567435191e-05,0.00010714335134870382,9.873708571859918,2.4366281305653907,1.001928080264895,1.0228686704200487,0.0021310443241757482,-0.00020296405928064368,-3.510789831237821e-16
LSODA,142.33333333333334,957202.8804183383,9615.605426635237,1.9219735130586157,0.0021196564384318396,1.0732753067156521e-09,5.3568699732637534e-05,0.00010713739946527507,9.8759386013951,2.435984786171311,1.0020228283795183,1.0231210853270474,0.0021544164959998524,-0.00013158811648157024,-2.2756482836747525e-16
LSODA,142.5,958354.151004699,9616.882414702894,1.9155885768340972,0.0021331957953382324,1.0731761846747227e-09,5.356700127131454e-05,0.00010713400254262908,9.877668920534072,2.4354858368684607,1.0021186995675644,1.0233764829405787,0.00217811798326709,-5.9418415702703915e-05,-1.0273735617640049e-16
LSODA,142.66666666666666,959501.5852258987,9618.160745538506,1.909196919912067,0.002124161125098053,1.073152024204851e-09,5.356658726456931e-05,0.00010713317452913862,9.878885197983418,2.4351352367311354,1.0022146750566587,1.0236321491077012,0.00220189820520793,1.2776851450802592e-05,2.2088529191083245e-17
LSODA,142.83333333333334,960645.1992988819,9619.426948696986,1.9028658946041959,0.002092838319828084,1.073202432567136e-09,5.356745104048609e-05,0.00010713490208097218,9.879578790057387,2.4349353491410968,1.0023097434600716,1.0238853897393974,0.002225507908481545,8.423555159007765e-05,1.456100434437192e-16
LSODA,143.0,961785.0495243267,9620.667795479465,1.8966616445603268,0.002039746250112152,1.0733262422861296e-09,5.356957247564609e-05,0.00010713914495129219,9.879746788436181,2.434886938289535,1.002402911393298,1.024133559095893,0.002248701713172101,0.00015420968012585645,2.665496775842443e-16
LSODA,143.16666666666666,962921.2313538246,9621.870436590814,1.8906484164788566,0.001965629266402345,1.0735215301740508e-09,5.357291833232848e-05,0.00010714583666465695,9.879392000084886,2.4349891772769645,1.0024932138277152,1.0243740873181628,0.002271240598643426,0.00022197322907174235,3.836679845548674e-16
LSODA,143.33333333333334,964053.8780515523,9623.022534588788,1.8848878978580834,0.0018714473559980772,1.0737856438704404e-09,5.357744273297374e-05,0.00010715488546594748,9.878522860356453,2.435239672476115,1.0025797240431984,1.0246045069177578,0.0022928943061901403,0.0002868297370082545,4.957758342049564e-16
